Date,Price,Open,High,Low,Vol.,Change %
4/30/2014,48.9,48.9,49.2,48.0,26.40K,0.00%
5/2/2014,48.0,48.0,48.9,47.5,64.68K,-1.84%
5/5/2014,48.8,48.9,49.1,47.7,25.90K,1.67%
5/6/2014,48.0,48.0,49.0,48.0,8.36K,-1.64%
5/7/2014,48.7,47.8,48.7,47.5,8.42K,1.46%
5/8/2014,48.0,48.0,48.7,48.0,17.50K,-1.44%
5/9/2014,48.0,46.4,48.2,46.4,11.95K,0.00%
5/12/2014,47.0,48.0,49.0,46.5,20.33K,-2.08%
5/13/2014,47.9,46.5,48.9,46.0,8.03K,1.91%
5/16/2014,48.0,46.5,48.0,46.5,0.12K,0.21%
5/19/2014,48.5,47.8,48.5,47.8,3.65K,1.04%
5/20/2014,48.3,48.3,48.3,48.3,,-0.41%
5/21/2014,47.0,46.1,48.0,46.0,1.15K,-2.69%
5/22/2014,47.9,47.0,48.0,47.0,0.18K,1.91%
5/23/2014,48.9,47.9,48.9,46.0,26.97K,2.09%
5/26/2014,48.8,48.7,48.8,48.7,0.20K,-0.20%
5/27/2014,46.0,46.9,47.9,46.0,18.81K,-5.74%
5/28/2014,46.0,45.7,46.0,45.0,9.55K,0.00%
5/29/2014,48.0,47.4,48.0,46.8,13.53K,4.35%
5/30/2014,48.7,48.0,48.8,47.9,21.12K,1.46%
6/2/2014,48.5,48.5,48.7,48.0,2.60K,-0.41%
6/3/2014,48.0,48.0,48.0,47.9,3.20K,-1.03%
6/4/2014,48.0,48.0,48.0,48.0,,0.00%
6/5/2014,46.5,47.6,47.6,46.3,3.89K,-3.13%
6/6/2014,47.4,46.5,47.5,46.4,1.40K,1.94%
6/9/2014,47.9,45.6,48.0,45.6,12.07K,1.05%
6/10/2014,47.9,47.7,47.9,47.5,17.50K,0.00%
6/11/2014,47.6,47.7,47.8,46.1,1.10K,-0.63%
6/13/2014,48.0,47.0,48.0,47.0,160.51K,0.84%
6/16/2014,47.9,48.0,48.0,47.9,2.20K,-0.21%
6/17/2014,48.0,47.9,48.9,47.8,30.90K,0.21%
6/18/2014,48.0,46.6,48.0,46.6,0.70K,0.00%
6/19/2014,47.9,47.9,47.9,47.9,,-0.21%
6/20/2014,46.1,45.9,47.5,45.9,2.00K,-3.76%
6/23/2014,47.9,47.9,48.0,46.2,1.03K,3.90%
6/24/2014,47.5,46.5,47.5,46.5,2.91K,-0.84%
6/25/2014,47.5,46.5,47.5,46.0,2.00K,0.00%
6/26/2014,48.0,46.2,48.0,46.2,23.63K,1.05%
6/27/2014,48.0,47.9,48.0,47.9,0.20K,0.00%
6/30/2014,48.0,48.0,48.0,48.0,,0.00%
7/1/2014,47.5,47.0,47.5,47.0,0.63K,-1.04%
7/2/2014,47.5,47.5,47.5,47.5,8.00K,0.00%
7/3/2014,50.0,47.5,50.0,47.4,119.82K,5.26%
7/4/2014,49.6,50.0,50.0,47.8,11.55K,-0.80%
7/7/2014,49.5,47.6,49.5,47.1,8.08K,-0.20%
7/8/2014,49.8,47.2,49.8,47.2,51.91K,0.61%
7/9/2014,51.4,49.5,52.0,49.0,611.84K,3.21%
7/10/2014,52.0,51.4,52.0,50.0,684.18K,1.17%
7/11/2014,56.5,52.0,57.2,52.0,1.74M,8.65%
7/14/2014,56.0,56.9,57.3,53.8,234.36K,-0.88%
7/15/2014,56.9,56.0,57.3,55.5,52.22K,1.61%
7/16/2014,56.5,56.9,57.0,55.5,71.30K,-0.70%
7/17/2014,55.0,56.5,56.9,55.0,55.89K,-2.65%
7/18/2014,56.0,54.1,56.0,54.0,16.92K,1.82%
7/21/2014,55.0,56.0,56.5,55.0,12.07K,-1.79%
7/22/2014,56.5,55.5,56.8,54.5,133.84K,2.73%
7/23/2014,56.0,56.8,57.0,55.1,21.92K,-0.88%
7/24/2014,56.2,56.0,56.5,55.0,2.93K,0.36%
7/25/2014,54.9,55.2,55.2,54.0,36.57K,-2.31%
7/28/2014,54.0,54.5,55.0,54.0,4.70K,-1.64%
7/30/2014,53.6,55.0,55.0,53.6,9.22K,-0.74%
7/31/2014,54.1,54.1,54.1,54.1,0.82K,0.93%
8/1/2014,56.5,54.9,57.2,54.9,208.81K,4.44%
8/4/2014,56.5,55.5,57.0,55.5,33.30K,0.00%
8/5/2014,56.5,56.5,57.0,55.5,13.84K,0.00%
8/6/2014,56.9,55.2,56.9,54.6,35.93K,0.71%
8/7/2014,55.9,55.9,56.3,55.0,14.06K,-1.76%
8/8/2014,55.5,56.0,56.0,55.5,18.17K,-0.72%
8/11/2014,56.0,55.0,56.0,55.0,4.20K,0.90%
8/12/2014,55.0,55.0,55.9,54.5,38.71K,-1.79%
8/13/2014,55.5,55.0,56.2,54.8,99.97K,0.91%
8/14/2014,54.7,54.9,55.5,54.5,51.85K,-1.44%
8/15/2014,54.9,54.5,54.9,54.0,37.23K,0.37%
8/18/2014,55.8,54.9,56.0,54.9,132.86K,1.64%
8/19/2014,55.0,55.8,55.8,55.0,4.10K,-1.43%
8/20/2014,55.0,55.4,55.5,54.9,31.98K,0.00%
8/21/2014,55.0,55.3,55.5,53.6,9.27K,0.00%
8/22/2014,54.0,54.3,55.0,54.0,2.30K,-1.82%
8/25/2014,54.0,54.0,54.0,54.0,11.81K,0.00%
8/26/2014,54.9,54.0,54.9,54.0,6.37K,1.67%
8/27/2014,54.1,54.9,55.8,54.1,16.59K,-1.46%
8/28/2014,54.3,54.0,54.5,53.0,16.35K,0.37%
8/29/2014,55.0,54.0,55.0,53.5,9.39K,1.29%
9/1/2014,54.2,54.9,54.9,54.2,25.01K,-1.45%
9/2/2014,54.0,54.0,54.0,53.6,7.50K,-0.37%
9/3/2014,53.5,53.6,54.9,53.5,26.02K,-0.93%
9/4/2014,53.5,53.5,53.9,53.5,0.10K,0.00%
9/5/2014,53.5,53.5,54.0,53.5,1.24K,0.00%
9/9/2014,52.7,53.4,53.4,52.7,2.25K,-1.50%
9/10/2014,53.7,52.7,53.9,50.5,5.91K,1.90%
9/11/2014,55.0,53.4,55.5,53.4,25.28K,2.42%
9/12/2014,54.5,54.6,55.0,53.0,1.87K,-0.91%
9/15/2014,54.0,54.5,54.5,53.0,1.75K,-0.92%
9/16/2014,54.0,54.0,54.5,53.0,25.94K,0.00%
9/17/2014,54.0,53.0,54.0,52.6,2.92K,0.00%
9/18/2014,54.0,53.0,54.0,53.0,3.20K,0.00%
9/19/2014,53.5,53.0,53.5,53.0,0.80K,-0.93%
9/22/2014,53.4,53.0,53.4,52.0,32.04K,-0.19%
9/23/2014,53.0,53.5,53.5,53.0,1.83K,-0.75%
9/24/2014,53.2,53.2,53.2,53.2,,0.38%
9/25/2014,52.0,52.2,52.8,51.6,40.87K,-2.26%
9/26/2014,51.9,51.6,52.0,51.3,3.85K,-0.19%
9/29/2014,51.9,52.0,53.0,51.5,21.80K,0.00%
9/30/2014,52.0,51.8,52.0,51.3,4.01K,0.19%
10/1/2014,51.8,52.0,52.0,51.3,9.29K,-0.38%
10/2/2014,51.6,51.8,52.0,51.0,100.53K,-0.39%
10/3/2014,51.5,52.0,54.0,51.5,142.44K,-0.19%
10/7/2014,51.5,52.0,53.4,51.2,43.24K,0.00%
10/9/2014,51.5,51.5,52.0,51.3,26.61K,0.00%
10/10/2014,51.0,52.0,52.0,51.0,14.68K,-0.97%
10/13/2014,50.0,51.0,51.5,50.0,3.73K,-1.96%
10/14/2014,51.2,50.9,51.4,50.1,2.91K,2.40%
10/15/2014,51.5,50.5,51.5,50.5,1.51K,0.59%
10/16/2014,50.9,50.6,51.3,50.0,21.30K,-1.17%
10/17/2014,49.5,51.3,51.3,49.5,82.88K,-2.75%
10/20/2014,50.0,50.0,51.0,49.5,114.23K,1.01%
10/21/2014,50.0,50.9,51.0,49.7,0.79K,0.00%
10/23/2014,50.0,50.5,50.9,49.6,2.98K,0.00%
10/24/2014,50.5,50.0,50.9,50.0,7.41K,1.00%
10/27/2014,50.0,50.1,50.9,50.0,6.97K,-0.99%
10/28/2014,50.0,49.8,50.0,49.8,1.50K,0.00%
10/29/2014,51.0,50.0,51.7,49.9,33.51K,2.00%
10/30/2014,51.3,51.0,51.4,49.9,53.58K,0.59%
10/31/2014,50.5,50.4,51.9,50.0,23.92K,-1.56%
11/3/2014,50.0,50.0,51.0,50.0,20.06K,-0.99%
11/4/2014,50.0,50.0,50.5,50.0,8.68K,0.00%
11/5/2014,50.0,49.9,50.8,49.8,35.98K,0.00%
11/7/2014,50.0,51.0,51.0,49.9,75.92K,0.00%
11/10/2014,49.7,50.0,50.0,49.7,9.91K,-0.60%
11/11/2014,50.0,50.0,50.0,49.6,21.21K,0.60%
11/12/2014,50.0,50.5,51.0,49.9,29.71K,0.00%
11/13/2014,50.0,50.0,51.0,49.6,62.45K,0.00%
11/14/2014,50.0,50.0,51.0,49.6,6.59K,0.00%
11/17/2014,50.0,50.5,51.7,49.9,283.79K,0.00%
11/18/2014,50.0,51.0,51.0,49.9,192.02K,0.00%
11/19/2014,49.8,50.0,50.8,49.7,26.57K,-0.40%
11/20/2014,50.0,50.0,50.0,49.9,36.38K,0.40%
11/21/2014,49.9,50.5,50.5,49.0,18.60K,-0.20%
11/24/2014,49.2,49.9,49.9,46.5,8.55K,-1.40%
11/25/2014,49.7,48.3,50.0,48.0,6.24K,1.02%
11/26/2014,48.5,49.6,49.6,48.1,0.24K,-2.41%
11/27/2014,47.0,48.1,48.1,45.3,8.78K,-3.09%
11/28/2014,47.5,46.5,48.4,46.5,26.02K,1.06%
12/1/2014,48.5,48.0,49.5,48.0,0.41K,2.11%
12/2/2014,47.3,48.5,48.5,47.3,0.57K,-2.47%
12/3/2014,48.0,48.5,49.0,48.0,5.40K,1.48%
12/4/2014,48.9,49.0,49.5,48.0,13.42K,1.88%
12/5/2014,48.9,48.9,49.0,47.5,5.00K,0.00%
12/8/2014,47.6,47.6,49.0,47.5,12.11K,-2.66%
12/9/2014,48.5,48.0,49.0,47.6,1.72K,1.89%
12/10/2014,47.7,47.7,48.9,47.5,1.35K,-1.65%
12/11/2014,48.3,48.8,49.0,47.0,19.42K,1.26%
12/12/2014,48.0,48.0,48.0,47.5,73.85K,-0.62%
12/15/2014,48.0,48.0,48.5,48.0,0.40K,0.00%
12/16/2014,48.7,48.0,49.0,48.0,137.36K,1.46%
12/17/2014,49.0,49.0,49.0,48.9,3.40K,0.62%
12/18/2014,50.3,48.9,51.2,48.9,187.95K,2.65%
12/19/2014,51.7,50.9,52.0,50.9,11.30K,2.78%
12/22/2014,51.5,51.4,51.8,51.4,48.40K,-0.39%
12/23/2014,51.2,51.5,52.0,50.0,34.83K,-0.58%
12/24/2014,50.0,51.5,51.5,50.0,1.80K,-2.34%
12/26/2014,51.4,51.4,51.4,51.4,0.50K,2.80%
12/29/2014,49.5,50.0,51.0,49.5,0.40K,-3.70%
12/30/2014,50.0,50.9,50.9,50.0,6.20K,1.01%
12/31/2014,50.5,50.0,50.5,49.7,2.81K,1.00%
1/2/2015,51.3,50.0,51.4,49.8,26.62K,1.58%
1/6/2015,51.5,49.9,52.0,49.9,61.32K,0.39%
1/7/2015,52.0,51.5,52.3,51.3,45.03K,0.97%
1/8/2015,53.9,51.7,54.0,51.6,33.14K,3.65%
1/9/2015,54.0,53.9,54.9,53.0,68.21K,0.19%
1/12/2015,53.4,54.0,54.5,52.6,33.05K,-1.11%
1/13/2015,53.4,53.7,53.7,52.5,8.11K,0.00%
1/16/2015,52.9,52.1,53.1,52.0,1.27K,-0.94%
1/19/2015,50.5,52.0,52.0,50.5,0.85K,-4.54%
1/20/2015,50.5,50.5,50.5,50.5,,0.00%
1/21/2015,50.2,50.2,50.2,50.2,0.00K,-0.59%
1/22/2015,51.3,50.2,51.3,47.0,23.49K,2.19%
1/23/2015,51.5,51.4,52.0,50.0,10.80K,0.39%
1/26/2015,50.9,50.9,51.0,50.9,1.52K,-1.17%
1/27/2015,50.9,50.9,50.9,50.0,1.90K,0.00%
1/28/2015,50.9,50.0,50.9,50.0,0.31K,0.00%
1/29/2015,50.5,50.5,50.5,50.5,0.20K,-0.79%
1/30/2015,49.6,50.5,50.5,49.6,1.56K,-1.78%
2/2/2015,49.5,50.9,50.9,45.6,0.36K,-0.20%
2/5/2015,49.9,49.9,49.9,49.9,0.30K,0.81%
2/6/2015,49.5,50.5,50.5,48.0,2.30K,-0.80%
2/9/2015,48.9,49.5,49.5,48.9,6.64K,-1.21%
2/10/2015,48.2,48.6,50.0,48.2,2.19K,-1.43%
2/11/2015,50.0,49.9,50.9,49.0,22.70K,3.73%
2/12/2015,50.5,50.0,50.5,49.1,0.25K,1.00%
2/13/2015,50.0,50.0,50.0,50.0,3.00K,-0.99%
2/16/2015,49.0,49.0,49.9,48.7,2.41K,-2.00%
2/18/2015,49.1,50.0,50.0,48.9,15.58K,0.20%
2/19/2015,50.0,50.0,50.0,49.0,0.71K,1.83%
2/20/2015,49.1,49.7,49.7,49.1,0.34K,-1.80%
2/23/2015,49.4,49.5,49.5,49.0,0.22K,0.61%
2/24/2015,49.4,49.0,49.4,48.9,0.20K,0.00%
2/25/2015,49.1,48.7,49.1,47.0,5.86K,-0.61%
2/26/2015,49.2,47.6,49.2,47.5,0.55K,0.20%
2/27/2015,48.5,48.9,48.9,48.5,0.16K,-1.42%
3/2/2015,48.0,49.0,49.0,47.0,23.82K,-1.03%
3/3/2015,47.6,48.0,48.0,47.0,26.63K,-0.83%
3/4/2015,47.0,47.0,47.0,46.8,13.60K,-1.26%
3/6/2015,47.0,47.5,47.5,47.0,0.41K,0.00%
3/9/2015,47.0,46.6,48.0,46.5,6.20K,0.00%
3/10/2015,47.0,47.0,47.0,46.5,12.99K,0.00%
3/11/2015,46.3,47.1,47.1,46.0,2.51K,-1.49%
